Date,OrganisationName,OrganisationType,MainParentOrSponsoringDepartment,PayrollStaffAo/AaHeadcount,PayrollStaffAo/AaFull-timeEquivalent,PayrollStaffEoHeadcount,PayrollStaffEoFull-timeEquivalent,PayrollStaffSeo/HeoHeadcount,PayrollStaffSeo/HeoFull-timeEquivalent,PayrollSatffGrade6/7Headcount,PayrollStaffGrade6/7Full-timeEquivalent,PayrollStaffScsHeadcount,PayrollStaffScsFull-timeEquivalent,PayrollStaffOtherUnknownOrUnspecifiedHeadcount,PayrollStaffOtherUnknownOrUnspecifiedFull-timeEquivalent,PayrollStaffTotalEmployessHeadcount,PayrollStaffTotalEmployeesFull-timeEquivalent,Non-payrollStaffAgencyStaff(Clerical/Admin)Headcount,Non-payrollSatffAgencyStaff(Clerical/Admin)Full-timeEquivalent,Non-payrollStaffInterimManagersHeadcount,Non-payrollStaffInterimManagersFull-timeEquivalent,Non-payrollStaffSpecialistContractorsHeadcount,Non-payrollStaffSpecialistContractorsFull-timeEquivalent,Non-payrollStaffConsultants/ConsultancyHeadcount,Non-payrollStaffConsultants/ConsultancyFull-timeEquivalent,Non-payrollStaffTotalEmployeesHeadcount,Non-payrollStaffTotalEmployeesFull-timeEquivalent,GrandTotal(WorkforceNumbers)Headcount,GrandTotal(WorkforceNumbers)Full-timeEquivalent,PayrollStaffCostsSalary,PayrollStaffCostsAllowances,PayrollStaffCostsNon-consolidatedPerformancePayments,PayrollStaffCostsOvertime,PayrollStaffCostsEmployerPensionContributions,PayrollStaffCostsEmployerNationalIsureanceContributions,PayrollStaffCostsTotalPaybillForPayrollStaff,Non-payrollStaffTotalCostOfContingentLabour:Agency(ClericalAndAdmin)StaffInterimManagersAndSpecialistContractors,Non-payrollStaffTotalCostOfConsultants/Consultancy,Non-payrollStaffTotalNon-payroll(Ccl)StaffCosts,GrandTotalPaybill/Staffing(PayrollAndNon-payroll)Costs,Comments
2014-11,Food Standards Agency,Non-Ministerial Department,Food Standards Agency,42,38.99,684,646.62,400,387.83,140,138.21,19,19,0,0,1285,1230.65,11,11,0,0,517,517,0,0,528,528,1813,1758.65,3272109.21,209941.08,1518,268746.72,648230.89,288361.45,4688907.35,2472038,0,2472038,7160945.35,
2014-12,Food Standards Agency,Non-Ministerial Department,Food Standards Agency,37,34.62,682,644.72,402,390.28,141,139.21,19,19,0,0,1281,1227.83,12,12,0,0,543,543,0,0,555,555,1836,1782.83,3339409.54,208928.76,387.98,290208.8,653601.5,291993,4784529.58,1891284,20912,1912196,6696725.58,
2015-01,Food Standards Agency,Non-Ministerial Department,Food Standards Agency,37,34.23,677,639.45,399,386.94,143,140.91,18,18,0,0,1274,1219.53,11,11,0,0,496,496,0,0,507,507,1781,1726.53,3295764.04,191516.44,362.35,250320.82,640938.31,288627.86,4667529.82,1950648,30928,1981576,6649105.82,
2015-02,Food Standards Agency,Non-Ministerial Department,Food Standards Agency,37,34.23,678,642.32,399,386.54,145,143,18,18,0,0,1277,1224.09,13,13,0,0,491,491,0,0,504,504,1781,1728.09,3261784.08,187182.73,362.35,208631.46,636136.77,281223.5,4575320.89,1853860,0,1853860,6429180.89,
2015-03,Food Standards Agency,Non-Ministerial Department,Food Standards Agency,37,34.23,674,638.12,410,397.14,146,144,18,18,0,0,1285,1231.48,10,10,0,0,482,482,0,0,492,492,1777,1723.48,3298136.51,234843.77,1399.46,215299.43,641407.95,284730.6,4675817.72,2334423,0,2334423,7010240.72,
2015-04,Food Standards Agency,Non-Ministerial Department,Food Standards Agency,26,23.42,597,562.51,376,364.3,138,135.4,17,17,0,0,1154,1102.63,9,9,0,0,435,435,0,0,444,444,1598,1546.63,3009187.57,184847.93,1212.34,288746.01,630861.23,267565.08,4382420.16,1610013,10200,1620213,6002633.16,Reduction in total employee headcount (>100) due to transfer of FSA Scotland staff to Food Standards Scotland from 1 April 2015.
2015-05,Food Standards Agency,Non-Ministerial Department,Food Standards Agency,26,23.42,597,561.85,376,364.5,138,135.29,17,17,0,0,1154,1102.06,10,10,0,0,475,475,0,0,485,485,1639,1587.06,2981519.93,191092.19,1212.34,240816.44,624973.66,261102.27,4300716.83,2127440,0,2127440,6428156.83,
2015-06,Food Standards Agency,Non-Ministerial Department,Food Standards Agency,27,24.42,597,561.21,380,368.08,139,136.69,16,16,0,0,1159,1106.4,11,11,0,0,467,467,0,0,478,478,1637,1584.4,3027036.58,171541.09,1186.76,286654.3,631384.64,273568.13,4391371.5,1812985,0,1812985,6204356.5,
2015-07,Food Standards Agency,Non-Ministerial Department,Food Standards Agency,28,25.42,595,558.36,383,371.28,141,139.2,16,16,0,0,1163,1110.26,11,11,0,0,462,462,0,0,473,473,1636,1583.26,3041975.36,188814.89,1175.51,188595.55,622452.75,257085.04,4300099.1,1736120,16046,1752166,6052265.1,
2015-08,Food Standards Agency,Non-Ministerial Department,Food Standards Agency,28,25.42,592,554.28,385,373.3,139,137.2,16,16,0,0,1160,1106,9,9,0,0,496,496,0,0,505,505,1665,1611,3234083.43,148468.63,2071.65,177566.19,628235.25,282451.08,4472876.23,2187584,9294,2196878,6669754.23,
